,,,,,Argentine ant Mortality,,,Monomorium Mortality,,,Individual Aggression,,,,,Maximum agression,,,,,Venom use,,,Individual Aggression Rel%,,,,,Maximum agression Rel%,,,,,Venom use Rel%,,,Combined Rel%,
9/09/2009,J,1,M. sydneyense,80,5,8,69,0,0,6,6,7,6,7,0,0,0,0,10,10,1,11,8,0.23,0.27,0.23,0.27,0,0,0,0,0.5,0.5,0.05,0.55,0.4,1.54,3.5
8/09/2009,E,2,M. sydneyense,80,3,7,34,1,3,8,0,3,2,11,6,0,0,0,13,3,0,11,14,0,0.14,0.09,0.5,0.27,0,0,0,0.81,0.19,0,0.44,0.56,2.91,3.19
8/09/2009,F,3,M. sydneyense,80,15,32,79,2,4,11,4,9,5,2,2,0,0,0,12,10,0,8,13,0.18,0.41,0.23,0.09,0.09,0,0,0,0.55,0.45,0,0.38,0.62,1.5,3.45
8/09/2009,A,4,M. sydneyense,80,7,17,76,0,2,4,0,4,5,12,3,0,0,0,20,3,0,12,3,0,0.17,0.21,0.5,0.13,0,0,0,0.87,0.13,0,0.8,0.2,2.58,3.13
7/09/2009,C,5,M. sydneyense,80,1,6,55,0,0,4,2,5,6,8,0,0,0,0,22,0,0,20,0,0.1,0.24,0.29,0.38,0,0,0,0,1,0,0,1,0,1.95,3
7/09/2009,I,6,M. sydneyense,80,2,7,48,0,0,11,3,9,6,6,0,0,3,4,6,2,2,8,2,0.13,0.38,0.25,0.25,0,0,0.2,0.27,0.4,0.13,0.17,0.67,0.17,1.63,2.47
10/09/2009,C,1,M. sydneyense,160,6,11,70,0,3,9,3,6,11,2,0,0,0,4,20,0,0,21,0,0.14,0.27,0.5,0.09,0,0,0,0.17,0.83,0,0,1,0,1.55,2.83
8/09/2009,H,2,M. sydneyense,160,12,36,157,0,5,11,0,5,6,12,2,0,0,0,16,1,0,13,1,0,0.2,0.24,0.48,0.08,0,0,0,0.94,0.06,0,0.93,0.07,2.44,3.06
8/09/2009,D,3,M. sydneyense,160,13,52,151,0,3,11,7,7,6,1,1,0,1,1,13,5,3,13,5,0.32,0.32,0.27,0.05,0.05,0,0.05,0.05,0.65,0.25,0.14,0.62,0.24,1.18,3.1
7/09/2009,A,4,M. sydneyense,160,4,10,102,1,2,10,0,6,2,11,1,0,0,0,12,1,0,11,1,0,0.3,0.1,0.55,0.05,0,0,0,0.92,0.08,0,0.92,0.08,2.35,3.08
7/09/2009,K,5,M. sydneyense,160,2,6,80,0,0,9,4,7,7,7,0,0,0,0,22,0,0,21,0,0.16,0.28,0.28,0.28,0,0,0,0,1,0,0,1,0,1.68,3
9/10/2009,R,6,M. sydneyense,160,0,1,11,0,2,11,1,4,10,6,0,0,0,0,20,0,0,20,0,0.05,0.19,0.48,0.29,0,0,0,0,1,0,0,1,0,2,3
21/09/2009,F,1,M. antipodum,20,0,0,3,0,0,1,13,15,9,2,0,4,5,6,8,0,17,4,0,0.33,0.38,0.23,0.05,0,0.17,0.22,0.26,0.35,0,0.81,0.19,0,4.49,5.57
29/09/2009,H,2,M. antipodum,20,0,0,2,0,0,2,5,11,9,0,0,2,8,10,0,0,21,0,0,0.2,0.44,0.36,0,0,0.1,0.4,0.5,0,0,1,0,0,4.36,0
